notebook	start	page	title	details
3	11-2016	1	"SFN 2016 notes"	"NA"
3	11-2016	15	"Voltage budget"	"Can we quantify healthy oscillation by studying budgets of voltage, some for computation some for oscillation?"
3	11-2016	33	"Ideas for Kernel"	"We should treat Kernel as neuroscience accelerator"
3	11-2016	40	"Voltage budget"	"NA"
3	11-2016	43	"Voltage budget"	"NA"
3	11-2016	55	"Voltage budget"	"Starting to unify. Work out details."
3	11-2016	59	"Arguments for and against PAC-slope"	"NA"
3	11-2016	60	"Voltage budget"	"Pareto introduced"
3	11-2016	60	"Connectivity and function"	"NA"
3	11-2016	60	"Ideas for idealized oscillation"	"VB based"
3	11-2016	69	"Oscillations and homeostasis (1)"	"VB based"
3	11-2016	70	"Alphalogical w/out PAC"	"When I realized alpha is the headline"
3	11-2016	73	"Alphalogical - burst as gain"	"NA"
3	11-2016	74	"Variable d: global and local I control (1)"	"Can we view neural inhibition as a control know for network dimensionality? Does inhibition control cognitive capacity?"
3	11-2016	80	"DFORCE - variable discreteness"	"A model system for learning continuous dynamics using discrete representations"
3	11-2016	84	"Chirps made of Wilson-Cowan"	"Notes after a meeting with Li and Vineet from the Mayberg lab"
3	11-2016	83	"Variable d - notes"	"NA"
3	11-2016	92	"Variable d - a related conjecture (3)"	"NA"
3	11-2016	96	"Alphalogical - Coon data analysis"	"NA"
3	11-2016	99	"DBS/stim for state change"	"Can we use stimulation to modulate the biophysical recovery state of neuron?"
3	11-2016	105	"Alphalogical - Coon data analysis"	"NA"
3	11-2016	108	"Variable d - computers not modulation (4)"	"Local I is the computer. Global I is a modulator. Learn to do independent continuous control of both?"
3	11-2016	109	"Unbalanced amplification"	"If you kills cells in a precise balanced system, can it learn to recover? Does this tell us something about disease?"
3	11-2016	112	"Variable d - at multiple scales (5)"	"NA"
3	11-2016	115	"Stimulation, synchrony and slope"	"NA"
3	11-2016	116	"DFORCE - information capacity"	"NA"
3	11-2016	118	"Prototype for map and mix"	"NA"
3	11-2016	120	"Alphalogical - in the big picture"	"NA"
3	11-2016	123	"DFORCE - learned threshold"	"NA"
3	11-2016	125	"Voltage budget - defining communication"	"NA"
3	11-2016	135	"Chaotic orbits with margin separation"	"Is that even a sensible idea?"
3	11-2016	137	"Voltage budget - defining communication"	"NA"
3	11-2016	147	"SZ project notes"	"NA"
3	11-2016	150	"DFORCE - framing notes"	"NA"
3	11-2016	152	"A Kumamoto model with bursting oscillators"	"NA"
3	11-2016	153	"Detecting bursts in the time domain"	"NA"
4	2-2017	3	"Disease as problem in brain math?"	"A kernel pitch. Treat the math of single neurons and networks as separate kind of computing systems, each with very different role. Neurons do learning and networks do selecting."
4	2-2017	5	"Rapid theory iteration"	"A kernel pitch."
4	2-2017	5	"More notes on 2.5d model"	"A variation of Barlett Mel's work."
4	2-2017	15	"Eigenanalysis to determine is a disease is somatic or dendritic"	"Using Mel to separate scales and test sensitivity"
4	2-2017	16	"Mel versus the modern world"	"ie ANNs"
4	2-2017	23	"Oscillations and permutation entropy"	"NA"
3	2-2017	33	"Voltage budget - operations"	"NA"
3	2-2017	35	"Generalizing dynamical systems to state families"	"NA"
3	2-2017	40	"Pacological 2 - revisited"	"NA"
3	2-2017	50	"Voltage budget - formalizing computation"	"NA"
3	2-2017	57	"Notes on biophysically meaningful ML"	"A kernel pitch"
3	2-2017	60	"Selective amplification, eigenvalues, shape, and stimulation"	"NA"
3	2-2017	61	"Tenets of fast theory"	"A kernel pitch"
4	11-2017	1	"Notes on differential privacy"	"NA"
4	11-2017	2	"BOLD storm"	"Can we use the PSF trick from storm microscopy on BOLD data? Super resolution fMRI/MRI?"
4	11-2017	7	"Notes on differential privacy"	"NA"
4	11-2017	23	"Variable d - erfan conversation notes"	"NA"
4	11-2017	27	"Voltage budget - a spike view"	"NA"
4	11-2017	28	"Voltage budget - an alternate definition"	"NA"
4	11-2017	39	"Big theory - a google pitch"	"NA"
4	11-2016	41	"Notes on Zhang 2016" "A random weights in ANNs paper"
4	11-2016	45	"Notes on Arpin 2017" "A random weights in ANNs paper"
4	11-2016	47	"Notes on Bengio 2009" "A random weights in ANNs paper"
4	11-2017	57	"Big theory - a google pitch"	"NA"
4	11-2017	58	"Variable d - algorithm design"	"NA"
4	11-2017	62	"Variable d - resource framing"	"NA"
4	11-2017	81	"Big theory - full details"	"This is where is came together-ish"
4	11-2017	86	"Variable d - models and algorithms"	"Gearing up to finally build something"
4	11-2017	112	"Big theory - biological search"	"First use of my circuit monte carlo idea; high throughput theory"
4	11-2017	117	"Counterfactual fairness (2)"	"Use a combination of causal models and differential privacy to make the world better, really slowly?"
4	11-2017	118	"N p alternate"	"NA"
4	11-2017	132	"Physicalist interpretability"	"Very nonspecific ideas about this"
4	11-2017	134	"Counterfactual fairness (3)"	"NA"
4	11-2017	141	"Voltage budget - shadow mode"	"NA"
4	11-2017	143	"Voltage budget - consensus and draft notes"	"NA"
4	11-2017	144	"Variable d - optogenetic control"	"A loose Hires pitch"
4	11-2017	145	"Voltage budget - consensus and draft notes"	"NA"

